,Time,Pose_X,Pose_Y,Rezeroed_timestamps
153,1739967524.1,-0.0808,3.5970833333333334,15.299999952316284
154,1739967524.2,-0.1616,3.475833333333333,15.400000095367432
155,1739967524.3,-0.28280000000000005,3.3141666666666665,15.5
156,1739967524.4,0.0,3.5162499999999994,15.600000143051147
157,1739967524.5,0.0,4.365,15.700000047683716
158,1739967524.6,-0.0404,3.5162499999999994,15.799999952316284
159,1739967524.7,0.0808,3.354583333333333,15.900000095367432
160,1739967524.8,0.1616,3.354583333333333,16.0
161,1739967524.9,-0.0808,3.435416666666667,16.100000143051147
162,1739967525.0,0.1616,3.435416666666667,16.200000047683716
163,1739967525.1,-0.0404,3.354583333333333,16.299999952316284
164,1739967525.2,-0.3636,3.5162499999999994,16.40000009536743
165,1739967525.3,0.202,3.435416666666667,16.5
166,1739967525.4,0.2424,3.192916666666666,16.600000143051147
167,1739967525.5,0.0,3.354583333333333,16.700000047683716
168,1739967525.6,0.0404,3.435416666666667,16.799999952316284
169,1739967525.7,0.0404,3.435416666666667,16.90000009536743
170,1739967525.8,-0.1212,3.27375,17.0
171,1739967525.9,0.5252,3.7183333333333333,17.100000143051147
172,1739967526.0,0.3636,3.03125,17.200000047683716
173,1739967526.1,0.4848,3.0716666666666663,17.299999952316284
174,1739967526.2,0.3636,3.03125,17.40000009536743
175,1739967526.3,0.28280000000000005,3.03125,17.5
176,1739967526.4,0.0808,3.233333333333333,17.600000143051147
177,1739967526.5,0.5656000000000001,3.27375,17.700000047683716
178,1739967526.6,0.3636,2.950416666666666,17.799999952316284
179,1739967526.7,0.0404,2.9908333333333332,17.90000009536743
180,1739967526.8,0.2424,2.9099999999999997,18.0
181,1739967526.9,-0.1212,3.8395833333333327,18.100000143051147
182,1739967527.0,-0.0808,2.9908333333333332,18.200000047683716
183,1739967527.1,-0.1616,2.950416666666666,18.299999952316284
184,1739967527.2,-0.1616,2.748333333333333,18.40000009536743
185,1739967527.3,0.0,2.950416666666666,18.5
186,1739967527.4,-0.1616,2.7079166666666667,18.600000143051147
187,1739967527.5,-0.1212,2.7079166666666667,18.700000047683716
188,1739967527.6,-0.0404,2.8695833333333334,18.799999952316284
189,1739967527.7,0.0,2.8695833333333334,18.90000009536743
190,1739967527.8,0.0,2.8291666666666666,19.0
191,1739967527.9,0.0404,2.8695833333333334,19.100000143051147
192,1739967528.0,0.0808,2.9099999999999997,19.200000047683716
193,1739967528.1,0.0808,2.9908333333333332,19.299999952316284
194,1739967528.2,0.0808,2.950416666666666,19.40000009536743
195,1739967528.3,0.0404,3.7991666666666664,19.5
196,1739967528.4,0.0808,2.8695833333333334,19.600000143051147
197,1739967528.5,0.0808,2.7887499999999994,19.700000047683716
198,1739967528.6,0.0404,2.748333333333333,19.799999952316284
199,1739967528.7,0.0,2.5866666666666664,19.90000009536743
200,1739967528.8,0.0404,2.6270833333333328,20.0
201,1739967528.9,0.0808,2.8695833333333334,20.100000143051147
202,1739967529.0,-0.0404,2.465416666666666,20.200000047683716
203,1739967529.1,0.1616,2.465416666666666,20.299999952316284
204,1739967529.2,0.1212,2.8291666666666666,20.40000009536743
205,1739967529.3,0.1212,2.6675,20.5
206,1739967529.4,0.202,2.7887499999999994,20.600000143051147
207,1739967529.5,0.3232,2.748333333333333,20.700000047683716
208,1739967529.6,0.1212,2.5058333333333334,20.799999952316284
209,1739967529.7,0.0404,2.5058333333333334,20.90000009536743
210,1739967529.8,0.0808,2.425,21.0
211,1739967529.9,-0.0404,2.2229166666666664,21.100000143051147
212,1739967530.0,0.1616,2.3037499999999995,21.200000047683716
213,1739967530.1,0.28280000000000005,2.425,21.299999952316284
214,1739967530.2,0.1212,2.384583333333333,21.40000009536743
215,1739967530.3,0.4444,2.5058333333333334,21.5
216,1739967530.4,-0.0808,2.3441666666666667,21.600000143051147
217,1739967530.5,0.0808,2.263333333333333,21.700000047683716
218,1739967530.6,0.28280000000000005,2.1016666666666666,21.799999952316284
219,1739967530.7,-0.0404,2.06125,21.90000009536743
220,1739967530.8,0.1212,2.5058333333333334,22.0
221,1739967530.9,0.0404,2.142083333333333,22.100000143051147
222,1739967531.0,-0.0808,2.06125,22.200000047683716
223,1739967531.1,-0.0404,1.9804166666666665,22.299999952316284
224,1739967531.2,0.0808,2.3441666666666667,22.40000009536743
225,1739967531.3,0.1212,1.9804166666666665,22.5
226,1739967531.4,0.28280000000000005,1.8995833333333332,22.600000143051147
227,1739967531.5,0.3636,1.9804166666666665,22.700000047683716
228,1739967531.6,0.0,2.142083333333333,22.799999952316284
229,1739967531.7,0.0,2.1016666666666666,22.90000009536743
230,1739967531.8,0.0404,2.2229166666666664,23.0
231,1739967531.9,0.0808,2.5058333333333334,23.100000143051147
232,1739967532.0,0.0404,2.1825,23.200000047683716
233,1739967532.1,-0.3232,3.1120833333333335,23.299999952316284
234,1739967532.2,0.1616,2.384583333333333,23.40000009536743
235,1739967532.3,0.0404,1.8995833333333332,23.5
236,1739967532.4,-0.0404,1.6974999999999998,23.600000143051147
237,1739967532.5,0.404,2.0208333333333335,23.700000047683716
238,1739967532.6,0.0808,1.6166666666666665,23.799999952316284
239,1739967532.7,0.2424,1.6166666666666665,23.90000009536743
240,1739967532.8,0.4444,1.8591666666666666,24.0
241,1739967532.9,0.1616,1.6166666666666665,24.100000143051147
242,1739967533.0,0.0808,2.06125,24.200000047683716
243,1739967533.1,0.0,1.8591666666666666,24.299999952316284
244,1739967533.2,-0.0404,1.6570833333333332,24.40000009536743
245,1739967533.3,0.4444,1.94,24.5
246,1739967533.4,0.3232,1.8187499999999999,24.600000143051147
247,1739967533.5,0.4444,1.6570833333333332,24.700000047683716
248,1739967533.6,0.3232,1.778333333333333,24.799999952316284
249,1739967533.7,0.4444,1.8187499999999999,24.90000009536743
250,1739967533.8,0.3636,1.4954166666666666,25.0
251,1739967533.9,0.3232,1.6570833333333332,25.100000143051147
252,1739967534.0,0.4848,1.6570833333333332,25.200000047683716
253,1739967534.1,0.606,1.6570833333333332,25.299999952316284
254,1739967534.2,0.4848,1.6166666666666665,25.40000009536743
255,1739967534.3,0.4444,1.6166666666666665,25.5
256,1739967534.4,0.28280000000000005,1.6570833333333332,25.600000143051147
257,1739967534.5,0.3232,1.6166666666666665,25.700000047683716
258,1739967534.6,0.6464,1.4145833333333333,25.799999952316284
