Time,Pose_X,Pose_Y,Rezero_timestamp
1739967532,42,186,23.2000000476837
1739967532.1,51,163,23.2999999523163
1739967532.2,39,181,23.4000000953674
1739967532.3,42,193,23.5
1739967532.4,44,198,23.6000001430511
1739967532.5,33,190,23.7000000476837
1739967532.6,41,200,23.7999999523163
1739967532.7,37,200,23.9000000953674
1739967532.8,32,194,24
1739967532.9,39,200,24.1000001430511
1739967533,41,189,24.2000000476837
1739967533.1,43,194,24.2999999523163
1739967533.2,44,199,24.4000000953674
1739967533.3,32,192,24.5
1739967533.4,35,195,24.6000001430511
1739967533.5,32,199,24.7000000476837
1739967533.6,35,196,24.7999999523163
1739967533.7,32,195,24.9000000953674
1739967533.8,34,203,25
1739967533.9,35,199,25.1000001430511
1739967534,31,199,25.2000000476837
1739967534.1,28,199,25.2999999523163
1739967534.2,31,200,25.4000000953674
1739967534.3,32,200,25.5
1739967534.4,36,199,25.6000001430511
1739967534.5,35,200,25.7000000476837
1739967534.6,27,205,25.7999999523163
1739967534.7,28,205,25.9000000953674
1739967534.8,34,208,26
1739967534.9,32,205,26.1000001430511
1739967535,33,205,26.2000000476837
1739967535.1,32,205,26.2999999523163
1739967535.2,30,209,26.4000000953674
1739967535.3,34,206,26.5
1739967535.4,34,211,26.6000001430511
1739967535.5,32,209,26.7000000476837
1739967535.6,33,208,26.7999999523163
1739967535.7,31,208,26.9000000953674
1739967535.8,29,212,27
1739967535.9,33,211,27.1000001430511
1739967536,33,212,27.2000000476837
1739967536.1,38,218,27.2999999523163
1739967536.2,35,220,27.4000000953674
1739967536.3,35,219,27.5
1739967536.4,34,218,27.6000001430511
1739967536.5,36,216,27.7000000476837
1739967536.6,27,220,27.7999999523163
1739967536.7,38,218,27.9000000953674
1739967536.8,33,216,28
1739967536.9,32,221,28.1000001430511
1739967537,43,215,28.2000000476837
1739967537.1,29,227,28.2999999523163
1739967537.2,36,221,28.4000000953674
1739967537.3,37,224,28.5
1739967537.4,33,224,28.6000001430511
1739967537.5,33,224,28.7000000476837
1739967537.6,38,225,28.7999999523163
1739967537.7,36,226,28.9000000953674
1739967537.8,37,227,29
1739967537.9,32,227,29.1000001430511
1739967538,37,227,29.2000000476837
1739967538.1,34,226,29.2999999523163
1739967538.2,32,224,29.4000000953674
1739967538.3,32,225,29.5
1739967538.4,28,221,29.6000001430511
1739967538.5,34,226,29.7000000476837
1739967538.6,34,227,29.7999999523163
1739967538.7,38,227,29.9000000953674
1739967538.8,37,225,30
1739967538.9,37,226,30.1000001430511
1739967539,36,227,30.2000000476837
1739967539.1,31,227,30.2999999523163
1739967539.2,38,227,30.4000000953674
1739967539.3,37,227,30.5
1739967539.4,25,225,30.6000001430511
1739967539.5,23,224,30.7000000476837
1739967539.6,35,227,30.7999999523163
1739967539.7,25,227,30.9000000953674
1739967539.8,28,226,31
1739967539.9,37,226,31.1000001430511
1739967540,35,227,31.2000000476837
1739967540.1,35,227,31.2999999523163
1739967540.2,37,227,31.4000000953674
1739967540.3,33,227,31.5
1739967540.4,36,227,31.6000001430511
1739967540.5,25,227,31.7000000476837
1739967540.6,28,227,31.7999999523163
